"filename","title","date","author","categories","tags","tag_count"
"2008-08-13-whats-going-on-here.md","What?s going on here?","2008-08-13T00:06:54-06:00","Jim McKeeth","News","codegear (19), delphi (91), News (232), podcast (63), programming (3)","5"
"2008-08-18-episode-1-tiburon.md","1 ? Tiburon","2008-08-18T00:44:23-06:00","Jim McKeeth","","Audio podCast (74), code monkey (1), codegear (19), delphi (91), tiburon (2)","5"
"2008-08-18-interview-with-nick-hodges.md","Interview with Nick Hodges","2008-08-18T20:47:43-06:00","Jim McKeeth","News","codegear (19), delphi (91), interview (3), News (232), questions (5)","5"
"2008-08-18-now-on-itunes.md","Now on iTunes","2008-08-18T15:43:14-06:00","Jim McKeeth","News","News (232)","1"
"2008-08-19-release-date-for-delphi-2009-announced.md","Release Date for Delphi 2009 Announced","2008-08-19T22:01:39-06:00","Jim McKeeth","News","annoucement (1), delphi (91), eweek (1), News (232), podcast (63)","5"
"2008-08-25-delphi-2009-available-for-order.md","Delphi 2009 Available for Order","2008-08-25T09:05:51-06:00","Jim McKeeth","News","codegear (19), delphi (91), delphi 2009 (15), News (232)","4"
"2008-08-25-episode-2-nick-hodges.md","2 ? Nick Hodges","2008-08-25T01:42:48-06:00","Jim McKeeth","","Audio podCast (74), beyond compare (3), codegear (19), delphi (91), podcast (63), smartinspect (2), tiburon (2)","7"
"2008-08-25-smartinspect-giveaway.md","SmartInspect GiveAway","2008-08-25T01:47:37-06:00","Jim McKeeth","News","giveaway (1), News (232), podcast (63), smartinspect (2)","4"
"2008-08-26-betablogging-delphi-2009-install-time.md","BetaBlogging ? Delphi 2009 Install Time","2008-08-26T09:30:39-06:00","Jim McKeeth","News","betablogging (1), delphi 2009 (15), installation (1), News (232), upgrade (1)","5"
"2008-08-27-delphi-win32-and-net-diverging.md","Delphi Win32 and .NET Diverging","2008-08-27T22:47:13-06:00","Jim McKeeth","News",".NET (8), codegear (19), Compatibility (1), delphi (91), News (232), Win32 (1)","6"
"2008-08-28-now-with-burning-feeds.md","Now with Burning Feeds","2008-08-28T01:54:33-06:00","Jim McKeeth","News","Audio podCast (74), feed (2), News (232), podcast (63)","4"
"2008-09-01-episode-3-barry-kelly.md","3 ? Barry Kelly","2008-09-01T16:59:04-06:00","Jim McKeeth","","anonymous methods (2), Audio podCast (74), compiler (2), delphi (91), garbage collection (2), generics (5)","6"
"2008-09-03-ideal-podcast-duration.md","Ideal Podcast Duration","2008-09-03T16:38:13-06:00","Jim McKeeth","News","duration (1), News (232), podcast (63), poll (4)","4"
"2008-09-04-tiobe-delphi-in-top-10.md","TIOBE: Delphi in top 10 again after strong comeback","2008-09-04T22:49:23-06:00","Jim McKeeth","News","community (8), delphi (91), marketing (1), News (232), search engines (2), september (1), TPCI (6)","7"
"2008-09-05-the-worst-thing-about-delphi.md","The Worst Thing About Delphi","2008-09-05T05:49:32-06:00","Jim McKeeth","News","comic (1), compiling (1), Funny (5), News (232), programmers (1), xkcd (1)","6"
"2008-09-05-updated-delphi-logos.md","Updated Delphi Logos","2008-09-05T20:17:35-06:00","Jim McKeeth","News","News (232)","1"
"2008-09-08-episode-4-julian-bucknall.md","4.1 ? Julian Bucknall","2008-09-08T01:12:37-06:00","Jim McKeeth","","Audio podCast (74), data structures (2), delphi (91), devexpress (3), generics (5)","5"
"2008-09-08-rtm-delphi-2009.md","RTM: Delphi 2009","2008-09-08T12:43:07-06:00","Jim McKeeth","News","delphi 2009 (15), News (232), release (1), twitter (5)","4"
"2008-09-09-episode-4-julian-bucknall-part-2.md","4.2 ? Julian Bucknall","2008-09-09T23:37:54-06:00","Jim McKeeth","","Audio podCast (74), data structures (2), delphi (91), devexpress (3), generics (5)","5"
"2008-09-11-delphi-2009-iso-available.md","Delphi 2009 ISO Available (Direct Link)","2008-09-11T09:06:26-06:00","Jim McKeeth","News","delphi 2009 (15), download (1), News (232)","3"
"2008-09-15-caused-stack-overflow.md","Caused Stack Overflow","2008-09-15T09:46:54-06:00","Jim McKeeth","News","community (8), delphi (91), forum (1), News (232), stackoverflow (5)","5"
"2008-09-15-episode-5-oxygene-and-net.md","5 ? Oxygene and .NET","2008-09-15T04:50:27-06:00","Jim McKeeth","",".NET (8), Audio podCast (74), delphi (91), podcast (63)","4"
"2008-09-19-hidden-features-of-delphi.md","Hidden Features of Delphi","2008-09-19T10:43:03-06:00","Jim McKeeth","News","delphi (91), hidden-features (1), News (232), stackoverflow (5)","4"
"2008-09-22-episode-6-cast-on-news.md","6 ? Cast on News","2008-09-22T05:02:54-06:00","Jim McKeeth","","Audio podCast (74), delphi (91), stackoverflow (5)","3"
"2008-09-23-screencast-1-adding-an-explore-tool.md","ScreenCast 1 ? Adding an Explore Tool","2008-09-23T00:03:32-06:00","Jim McKeeth","","delphi 2009 (15), explore (2), screencast (2), tool (2), Video podCast (31)","5"
